zone,set,beta,k,M
zone212,5,120,0.030567110052130423,-119426085.38900734
zone212,5,250,0.041376383262027507,-337979010.23027575
zone221,5,1.05,0.90924306247487796,-238429771.58117017
zone221,5,2,0.84093631785191103,-194276737.24290496
zone221,5,5,0.68249905069853134,-105206150.60950482
zone221,5,12,0.48217861500532239,-18529151.426276144
zone221,5,30,0.29238706816169541,40695227.348649196
zone221,5,60,0.19853795839858318,70136666.441322282
zone221,5,120,0.15265846670853761,105875928.58056688
zone221,5,250,0.15818441622914031,182827761.73040766
zone222,5,1.05,0.91288118421149433,-160475874.55816078
zone222,5,2,0.84708723746374592,-122331668.83260499
zone222,5,5,0.69334878195526495,-47369698.070029788
zone222,5,12,0.49436866302665539,17613703.388658628
zone222,5,30,0.28904375948700384,33854621.884488091
zone222,5,60,0.1543745845478483,-8940659.3233236559
zone222,5,120,0.0079547594883557487,-142069976.05823696
zone222,5,250,-0.28685478728219732,-603486134.4123472
zone311,5,1.05,0.72321900330269129,120035219.25987421
zone311,5,2,0.58862800323206688,78623594.086603716
zone311,5,5,0.40271878296665875,40579132.458356366
zone311,5,12,0.29584981459541648,39076538.34306398
zone311,5,30,0.25490308823251273,75330558.333769619
zone311,5,60,0.24507142531367399,143013073.70229939
zone311,5,120,0.24126600209274063,280051938.70919669
zone311,5,250,0.23961909484191071,577625560.57180262
zone312,5,1.05,0.78971741029215747,120065478.59716798
zone312,5,2,0.67896514122218754,97881457.488857314
zone312,5,5,0.50158123959160394,74563166.128337488
zone312,5,12,0.35419135491038478,66562760.191701263
zone312,5,30,0.24630781271436081,68518444.197061181
zone312,5,60,0.1937766209185105,74955993.084902734
zone312,5,120,0.16029944337491633,87390530.269731224
zone312,5,250,0.13947801383118497,113260908.54911596
zone321,5,1.05,0.91043102601658121,-203417098.01862097
zone321,5,2,0.8424865808933657,-169796187.58191115
zone321,5,5,0.6835198462997194,-98274560.505276248
zone321,5,12,0.4822918990624851,-18146324.760894034
zone321,5,30,0.30408496998706724,63913468.258674257
zone321,5,60,0.2457086179797052,142864922.96720901
zone321,5,120,0.2755168526713645,270146813.51685673
zone321,5,250,0.40185272463125621,506288364.77855551
zone322,5,1.05,0.91402423904169383,-128146318.5910318
zone322,5,2,0.84858143864761426,-99654551.478250831
zone322,5,5,0.69433800210991481,-40882976.144833714
zone322,5,12,0.49447986021234419,17980677.679408718
zone322,5,30,0.30092676259547813,57547003.855965555
zone322,5,60,0.20533249175950083,73459109.386149257
zone322,5,120,0.16074163197709979,87359854.500416741
zone322,5,250,0.16416541739993762,113505729.46215712
zone411,5,1.05,0.94027657103455264,4052240477.0642328
zone411,5,2,0.80259439402548216,2727321859.0211396
zone411,5,5,0.32822914296046501,131154067.86531001
zone411,5,12,0.16696243264681784,-83684156.612329319
zone411,5,30,0.24578161813224833,63318355.627975255
zone411,5,60,0.24484307887697815,142578442.87127551
zone411,5,120,0.24055584172059447,277849299.42549103
zone411,5,250,0.23721588513052894,563896587.92822182
zone412,5,1.05,0.8973568646172928,3172133917.8606353
zone412,5,2,0.73158536121486151,1816615704.7745662
zone412,5,5,0.24632507483398977,-297233853.92140466
zone412,5,12,0.28136605584923208,-28933969.021970961
zone412,5,30,0.23635730408663391,56095459.683059402
zone412,5,60,0.19343222854388764,74465402.75596717
zone412,5,120,0.15891365703910551,84761780.105332077
zone412,5,250,0.13377013825494058,96240826.495252237
zone421,5,1.05,0.90556038846843168,-530421324.80309099
zone421,5,2,0.83481823207656791,-441412205.31583405
zone421,5,5,0.67225963366929653,-261532665.20836487
zone421,5,12,0.47225581501877684,-83375969.845435753
zone421,5,30,0.30044245319818208,52357069.574760795
zone421,5,60,0.24549939781074723,142426512.69930631
zone421,5,120,0.27431326120717547,268236963.89622587
zone421,5,250,0.39627380750773872,497752579.63160878
